0,0,100,100,0
0,100,100,100,0
100,100,100,100,0
100,0,100,100,0
200,0,100,100,0
200,100,100,100,0
300,100,100,100,0
300,0,100,100,0
400,100,100,100,0
400,0,100,100,0
500,0,100,100,0
500,100,100,100,0
600,100,100,100,0
600,0,100,100,0
700,100,100,100,0
700,0,100,100,0
0,200,100,100,0
100,200,100,100,0
100,300,100,100,0
0,300,100,100,0
100,400,100,100,0
0,400,100,100,0
0,500,100,100,0
100,500,100,100,0
100,600,100,100,0
0,600,100,100,0
0,700,100,100,0
100,700,100,100,0
0,900,100,100,0
100,900,100,100,0
0,800,100,100,0
100,800,100,100,0
0,1000,100,100,0
100,1000,100,100,0
0,1100,100,100,0
100,1100,100,100,0
100,1200,100,100,0
0,1200,100,100,0
100,1300,100,100,0
0,1300,100,100,0
0,1400,100,100,0
0,1500,100,100,0
0,1600,100,100,0
100,1600,100,100,0
100,1500,100,100,0
100,1400,100,100,0
100,1700,100,100,0
100,1800,100,100,0
0,1800,100,100,0
0,1700,100,100,0
0,1900,100,100,0
100,1900,100,100,0
200,1800,100,100,0
200,1900,100,100,0
300,1900,100,100,0
300,1800,100,100,0
400,1800,100,100,0
400,1900,100,100,0
500,1900,100,100,0
500,1800,100,100,0
600,1900,100,100,0
700,1800,100,100,0
700,1900,100,100,0
800,1900,100,100,0
800,1800,100,100,0
900,1900,100,100,0
600,1800,100,100,0
900,1800,100,100,0
1000,1900,100,100,0
1000,1800,100,100,0
1100,1800,100,100,0
1100,1900,100,100,0
1200,1900,100,100,0
1300,1900,100,100,0
1300,1800,100,100,0
1200,1800,100,100,0
1400,1800,100,100,0
1500,1800,100,100,0
1500,1900,100,100,0
1400,1900,100,100,0
1600,1900,100,100,0
1700,1900,100,100,0
1700,1800,100,100,0
1800,1900,100,100,0
1800,1800,100,100,0
1900,1800,100,100,0
1600,1800,100,100,0
1900,1900,100,100,0
1800,1700,100,100,0
1900,1700,100,100,0
1900,1600,100,100,0
1800,1600,100,100,0
1900,1500,100,100,0
1800,1500,100,100,0
1900,1400,100,100,0
2000,1400,100,100,0
1800,1400,100,100,0
1900,1300,100,100,0
2000,1300,100,100,0
1800,1300,100,100,0
1900,1200,100,100,0
2000,1200,100,100,0
1800,1200,100,100,0
1800,1100,100,100,0
1900,1100,100,100,0
1800,1000,100,100,0
1900,1000,100,100,0
1800,900,100,100,0
1900,900,100,100,0
1800,800,100,100,0
1900,800,100,100,0
1900,700,100,100,0
1800,700,100,100,0
1900,600,100,100,0
1800,600,100,100,0
1800,500,100,100,0
1900,500,100,100,0
1800,400,100,100,0
1900,400,100,100,0
2000,400,100,100,0
2000,300,100,100,0
1900,300,100,100,0
1800,300,100,100,0
2000,200,100,100,0
